Intermédiaire;Date envoi de la commande;MEN#;PO#;N° Lot;Fournisseur;OP/Client/Appro;Acompte;Alerte;Etat de la commande;Payé ?;"Nombre de mois 
(de la commande à la livraison)";Artwork;REF;Désignation;Quantité;PU;Prix / référence;Total prix commande;Frais supp;Total prix sur facture ;PCB;Volume m3  PCB;Volume m3 réfernce total;Volume m3 commande;"Matière
(MAT)";"Semi-production
(SP)";"Echantillon de
conformité";"Production
(BAT)";Date inspection;Rapport d'inspection;"Réception
(RECEP)";"Non-conformité
(NCR)";ETD confirmé;"Retard 
(jours)";ETD réel;ETA;Date de livraison;Lieu de livraison;N° BL;N° Conteneur;N° Facture;Transport ;Transitaire;Colis/pièces manquantes
TB CHINA;2025-09-22;25081;1.0;Pas de N°;GUANGMING METAL;GDD;Aucun; /;Payé;2025-10-27 00:00:00; /;Aucun; /;Forming Molding fee;1.0;3636;3636;4895;;4895;;;;;Aucune;Aucune; /;Aucune; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /
TB CHINA;2025-09-22;25081;1.0;Pas de N°;GUANGMING METAL;GDD;Aucun; /;Payé;2025-10-27 00:00:00; /;Aucun; /;Shaping molding fee;1.0;420;420;4895;;4895;;;;;Aucune;Aucune; /;Aucune; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /
TB CHINA;2025-09-22;25081;1.0;Pas de N°;GUANGMING METAL;GDD;Aucun; /;Payé;2025-10-27 00:00:00; /;Aucun; /;Customized ceramic plate ;1.0;839;839;4895;;4895;;;;;Aucune;Aucune; /;Aucune; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /; /
TB CHINA;2025-05-23;25043;16587.0;Pas de N°;HUAYING;GDD;Aucun; /;Livrée le 03/02/2026;2026-01-19 00:00:00;8;Aucun;Comp0441;PLAQUETTE DIAMANT BAIONNETTE ARMEE;1000.0;0.75;750;750;280.0;1030;500.0;0.0028440000000000006;0.005688000000000001;0.005688000000000001;Aucune;Aucune;Validé;Conforme;2025-11-27 00:00:00;OK 4947566.00-16;;;2025-07-15 00:00:00;150;2025-12-12 00:00:00;2026-01-24 00:00:00;2026-02-03 08:00:00;GDD;SZSE2513234;CMAU6128009;HY250902;CMA CGM SCANDOLA;QUALITAIRSEA;
TB CHINA;2025-07-28;25065;16852.0;Pas de N°;AUZON;TEFAL;Aucun; /;Livrée le 17/12/2025;2026-01-19 00:00:00;4;Envoyé;11410021;KIT COFFRET SET 3 PCE SEB_TEFAL;1800.0;0.987;1776.6;31945.199999999997;4200.0;36145.2;0.0;0.0;;;Aucune;Aucune;Validé;Conforme; /; /;;;2025-09-15 00:00:00;85;2025-12-09 00:00:00;2025-12-15 00:00:00;2025-12-17 00:00:00;GDD;SZAE2505776;TK6631;20251206001;AVION;QUALITAIRSEA;
TB CHINA;2025-07-28;25065;16852.0;Pas de N°;AUZON;TEFAL;Aucun; /;Livrée le 17/12/2025;2026-01-19 00:00:00;4;Envoyé;11410023;KIT COFFRET SANTOKU SEB_TEFAL;5200.0;0.58;3016;31945.199999999997;4200.0;36145.2;0.0;0.0;;;Aucune;Aucune;Validé;Conforme; /; /;;;2025-09-15 00:00:00;85;2025-12-09 00:00:00;2025-12-15 00:00:00;2025-12-17 00:00:00;GDD;SZAE2505776;TK6631;20251206001;AVION;QUALITAIRSEA;
TB CHINA;2025-07-28;25065;16852.0;Pas de N°;AUZON;TEFAL;Aucun; /;Livrée le 17/12/2025;2026-01-19 00:00:00;4;Envoyé;11410024;KIT COFFRET UTILITY SEB_TEFAL;6900.0;0.475;3277.5;31945.199999999997;4200.0;36145.2;0.0;0.0;;;Aucune;Aucune;Validé;Conforme; /; /;;;2025-09-15 00:00:00;85;2025-12-09 00:00:00;2025-12-15 00:00:00;2025-12-17 00:00:00;GDD;SZAE2505776;TK6631;20251206001;AVION;QUALITAIRSEA;
TB CHINA;2025-07-28;25065;16852.0;Pas de N°;AUZON;TEFAL;Aucun; /;Livrée le 17/12/2025;2026-01-19 00:00:00;4;Envoyé;11410036;KIT COFFRET CHEF SEB_TEFAL;5200.0;0.58;3016;31945.199999999997;4200.0;36145.2;0.0;0.0;;;Aucune;Aucune;Validé;Conforme; /; /;;;2025-09-15 00:00:00;85;2025-12-09 00:00:00;2025-12-15 00:00:00;2025-12-17 00:00:00;GDD;SZAE2505776;TK6631;20251206001;AVION;QUALITAIRSEA;
TB CHINA;2025-07-28;25065;16852.0;Pas de N°;AUZON;TEFAL;Aucun; /;Livrée le 12/03/2026;2026-01-19 00:00:00;7;Envoyé;11410021;KIT COFFRET SET 3 PCE SEB_TEFAL;3200.0;0.987;3158.4;31945.199999999997;4200.0;36145.2;0.0;0.0;;;Aucune;Aucune;Validé;Conforme; /; /;;;2025-09-15 00:00:00;106;2025-12-30 00:00:00;2026-02-26 00:00:00;2026-03-12 08:00:00;GDD;SZSE2600172;TGBU3898959;20251222001;ONE FREEDOM;QUALITAIRSEA;
TB CHINA;2025-07-28;25065;16852.0;Pas de N°;AUZON;TEFAL;Aucun; /;Livrée le 12/03/2026;2026-01-19 00:00:00;7;Envoyé;11410023;KIT COFFRET SANTOKU SEB_TEFAL;7320.0;0.58;4245.599999999999;31945.199999999997;4200.0;36145.2;0.0;0.0;;;Aucune;Aucune;Validé;Conforme; /; /;;;2025-09-15 00:00:00;106;2025-12-30 00:00:00;2026-02-26 00:00:00;2026-03-12 08:00:00;GDD;SZSE2600172;TGBU3898959;20251222001;ONE FREEDOM;QUALITAIRSEA;
TB CHINA;2025-07-28;25065;16852.0;Pas de N°;AUZON;TEFAL;Aucun; /;Livrée le 12/03/2026;2026-01-19 00:00:00;7;Envoyé;11410024;KIT COFFRET UTILITY SEB_TEFAL;5620.0;0.475;2669.5;31945.199999999997;4200.0;36145.2;0.0;0.0;;;Aucune;Aucune;Validé;Conforme; /; /;;;2025-09-15 00:00:00;106;2025-12-30 00:00:00;2026-02-26 00:00:00;2026-03-12 08:00:00;GDD;SZSE2600172;TGBU3898959;20251222001;ONE FREEDOM;QUALITAIRSEA;
TB CHINA;2025-07-28;25065;16852.0;Pas de N°;AUZON;TEFAL;Aucun; /;Livrée le 12/03/2026;2026-01-19 00:00:00;7;Envoyé;11410029;KIT COFFRET UTILITY SEB_T-FAL;4000.0;0.475;1900;31945.199999999997;4200.0;36145.2;0.0;0.0;;;Aucune;Aucune;Validé;Conforme; /; /;;;2025-09-15 00:00:00;106;2025-12-30 00:00:00;2026-02-26 00:00:00;2026-03-12 08:00:00;GDD;SZSE2600172;TGBU3898959;20251222001;ONE FREEDOM;QUALITAIRSEA;
TB CHINA;2025-07-28;25065;16852.0;Pas de N°;AUZON;TEFAL;Aucun; /;Livrée le 12/03/2026;2026-01-19 00:00:00;7;Envoyé;11410030;KIT COFFRET SANTOKU SEB_T-FAL;4000.0;0.58;2320;31945.199999999997;4200.0;36145.2;0.0;0.0;;;Aucune;Aucune;Validé;Conforme; /; /;;;2025-09-15 00:00:00;106;2025-12-30 00:00:00;2026-02-26 00:00:00;2026-03-12 08:00:00;GDD;SZSE2600172;TGBU3898959;20251222001;ONE FREEDOM;QUALITAIRSEA;
TB CHINA;2025-07-28;25065;16852.0;Pas de N°;AUZON;TEFAL;Aucun; /;Livrée le 12/03/2026;2026-01-19 00:00:00;7;Envoyé;11410034;KIT COFFRET CHEF SEB_T-FAL;4000.0;0.58;2320;31945.199999999997;4200.0;36145.2;0.0;0.0;;;Aucune;Aucune;Validé;Conforme; /; /;;;2025-09-15 00:00:00;106;2025-12-30 00:00:00;2026-02-26 00:00:00;2026-03-12 08:00:00;GDD;SZSE2600172;TGBU3898959;20251222001;ONE FREEDOM;QUALITAIRSEA;
TB CHINA;2025-07-28;25065;16852.0;Pas de N°;AUZON;TEFAL;Aucun; /;Livrée le 12/03/2026;2026-01-19 00:00:00;7;Envoyé;11410036;KIT COFFRET CHEF SEB_TEFAL;7320.0;0.58;4245.599999999999;31945.199999999997;4200.0;36145.2;0.0;0.0;;;Aucune;Aucune;Validé;Conforme; /; /;;;2025-09-15 00:00:00;106;2025-12-30 00:00:00;2026-02-26 00:00:00;2026-03-12 08:00:00;GDD;SZSE2600172;TGBU3898959;20251222001;ONE FREEDOM;QUALITAIRSEA;
TB CHINA;2025-07-30;25067;16876.0;Pas de N°;SMART IRON; /;Aucun; /;Livrée le 02/02/2026;2025-12-23 00:00:00;6;Aucun;30590001;FUSIL A AIGUISER MECHE INOX AVEC ANNEAU VRAC;50000.0;1.585;79250;79250;;79250;36.0;0.017061;23.695833333333333;23.695833333333333;Aucune;Aucune;Validé;Conforme;2025-11-17 00:00:00;OK 4947566.00-1;;;2025-10-15 00:00:00;58;2025-12-12 00:00:00;2026-01-24 00:00:00;2026-02-02 08:00:00;GDD;SZSE2513229;TCNU3339544;SI251213B;CMA CGM SCANDOLA;QUALITAIRSEA;
TB CHINA;2025-09-22;25081;16973.0;Pas de N°;GUANGMING METAL;GDD;Aucun; /;Livrée le 12/11/2025;2026-01-19 00:00:00;1;Aucun;10020279;MITRE MIM PM LAGUIOLE HERITAGE PJT_AVEYRON;50.0;1.45;72.5;3830;;3830;0.0;0.0;;;Aucune;Aucune;Validé;Conforme;;;;;2025-11-25 00:00:00;Aucun;2025-11-10 00:00:00;2025-11-11 00:00:00;2025-11-12 00:00:00;GDD;DHL;2533667426;GMW-B2025090903-2;DHL;DHL;
TB CHINA;2025-09-22;25081;16973.0;Pas de N°;GUANGMING METAL;GDD;Aucun; /;Livrée le 20/01/2026;2026-01-19 00:00:00;3;Aucun;10020279;MITRE MIM PM LAGUIOLE HERITAGE PJT_AVEYRON;950.0;1.45;1377.5;3830;240.0;4070;0.0;0.0;;;Aucune;Aucune;;Non reçu;;;;;2025-11-25 00:00:00;52;2026-01-16 00:00:00;2026-01-19 00:00:00;2026-01-20 00:00:00;GDD;DHL;2533667426;GMW-B2025090903-3;DHL;QUALITAIRSEA;
TB CHINA;2025-09-22;25081;16973.0;Pas de N°;GUANGMING METAL;GDD;Aucun; /;Livrée le 12/11/2025;2026-01-19 00:00:00;3;Aucun;10020280;MITRE MIM GM LAGUIOLE HERITAGE PJT_AVEYRON;100.0;2.38;238;3830;240.0;4070;0.0;0.0;;;Aucune;Aucune;;Non reçu;;;;;2025-11-25 00:00:00;52;2026-01-16 00:00:00;2026-01-19 00:00:00;2026-01-20 00:00:00;GDD;DHL;2533667426;GMW-B2025090903-2;DHL;QUALITAIRSEA;
TB CHINA;2025-09-22;25081;16973.0;Pas de N°;GUANGMING METAL;GDD;Aucun; /;Livrée le 04/02/2026;2026-01-19 00:00:00;4;Aucun;10020280;MITRE MIM GM LAGUIOLE HERITAGE PJT_AVEYRON;900.0;2.38;2142;3830;240.0;4070;0.0;0.0;;;Aucune;Aucune;;Non reçu;;;;;2025-11-25 00:00:00;24;2025-12-19 00:00:00;2026-01-30 00:00:00;2026-02-04 08:00:00;GDD;SZSE2513794;SGRU2234719;GMW-B2025090903-1;CMA CGM KIMBERLEY;QUALITAIRSEA;
TB CHINA;2025-09-25;25082;17019.0;Pas de N°;AUZON;GDD;Aucun; /;Livrée le 04/02/2026;2026-01-19 00:00:00;4;Aucun;11340033;CALE CARTON POUR BOITE SET DE 3 CTX BRIGADE;4000.0;0.2;800;3360;145.0;3505;0.0;0.0;;;Aucune;Aucune;Validé;Conforme;2025-12-03 00:00:00;FAIL 4947566.00-25;;;2025-11-15 00:00:00;34;2025-12-19 00:00:00;2026-01-30 00:00:00;2026-02-04 08:00:00;GDD;SZSE2513755;SGRU2234719;20251209001;CMA CGM KIMBERLEY;QUALITAIRSEA;
TB CHINA;2025-09-25;25082;17019.0;Pas de N°;AUZON;GDD;Aucun; /;Livrée le 04/02/2026;2026-01-19 00:00:00;4;Envoyé;Comp1370029;BOITE POUR SET DE 3 CTX BRIGADE BOIS TRADITION CRF HOME;4000.0;0.64;2560;3360;145.0;3505;0.0;0.0;;;Aucune;Aucune;Validé;Conforme;2025-12-03 00:00:00;OK 4947566.00-24;;;2025-11-15 00:00:00;34;2025-12-19 00:00:00;2026-01-30 00:00:00;2026-02-04 08:00:00;GDD;SZSE2513755;SGRU2234719;20251209001;CMA CGM KIMBERLEY;QUALITAIRSEA;
TB CHINA;2025-10-27;25106;17043.0;Pas de N°;GUANGMING METAL;GDD;Aucun; /;Livrée le 02/02/2026;2025-12-23 00:00:00;3;Aucun;10500045;MOLETTE INOX BRUTE PJT_LENIPO;10000.0;0.6;6000;6000;;6000;0.0;0.0;;;Aucune;Aucune;;Non reçu;;;;;2025-12-30 00:00:00;Aucun;2025-12-12 00:00:00;2026-01-24 00:00:00;2026-02-02 08:00:00;GDD;SZSE2513231;TCNU3339544;GMW-B2025100917;CMA CGM SCANDOLA;QUALITAIRSEA;
TB CHINA;2025-10-13;25102;17062.0;Pas de N°;POLLYDA;GDD;Aucun; /;En cours de livraison;2026-03-10 00:00:00;;Envoyé;10020313;KIT COFFRET 6 STEAK LAGUIOLE ACCESS POLYMERE_POLYFLAME;3000.0;0.494;1482;1482;;1482;120.0;0.05600000000000001;1.4000000000000001;1.4000000000000001;Aucune;Aucune;Validé;Conforme;2026-01-16 00:00:00;OK 4949587.00-35;;;2025-11-25 00:00:00;86;2026-02-19 00:00:00;2026-03-31 00:00:00;Estimée : 07-avril;GDD;SZSE2601806;CMAU5744735;2026H1004;CMA CGM ALEXANDER VON HUMBOLDT;QUALITAIRSEA;
DIRECT;2026-01-28;Pas de MEN;17447.0;Pas de N°;OCEAN DIVERS;DECATHLON;Aucun; /;En production;Non;;Aucun;Comp1350034;SANGLE 20'' POUR COUTEAU SUBEA SPF;6400.0;0.86;5504;5504;;5504;0.0;0.0;;;Aucune;Aucune;;Non reçu;;;;;2026-04-30 00:00:00;;;;;GDD;;;;;;
TB CHINA;2026-01-15;26016;17477.0;Pas de n°;JIUSHENG;GDD;Aucun; /;Livrée le 10/02/2026;2026-01-23 00:00:00;0;Aucun;10500044;RESSORT INOX COUTEAU SURICATE;15000.0;0.05;750;750;;750;0.0;0.0;;;Aucune;Aucune;Aucune;Aucune;Aucune;Aucun;Aucune;Aucune;2026-01-25 00:00:00;51;2026-02-05 00:00:00;2026-02-09 00:00:00;2026-02-10 00:00:00;GDD;DHL;4901222874;SI-20260204-1;DHL;DHL;
TB CHINA;2026-02-05;26017;17478.0;Pas de n°;JIUSHENG;GDD;Aucun; /;Livrée le 11/03/2026;2026-02-27 00:00:00;1;Aucun;10500067;RESSORT INOX COUTEAU SURICATE - MODIFIE;8000.0;0.05;400;400;;400;0.0;0.0;;;Aucune;Aucune;Aucune;Aucune;Aucune;Aucun;Aucune;Aucune;2026-03-10 00:00:00;7;2026-03-09 00:00:00;2026-03-10 00:00:00;2026-03-11 00:00:00;GDD;DHL;1170065551;260226;DHL;DHL;
TB CHINA;2026-02-09;;17490.0;Pas de n°;GOLD KNIFE;GDD;Aucun; /;En production;Non;;Aucun;11180143;PAIRE DE PLAQUETTES CAC S200 G10 TOXIFIEES CAMO LM081;1000.0;6.8;6800;6800;;6800;0.0;0.0;;;Aucune;Aucune;;;;;;;;46098;;;;GDD;;;;;;
TB CHINA;2026-02-09;;17492.0;Pas de n°;GUANGMING;GDD;Aucun; /;En attente de livraison;2026-03-10 00:00:00;;Aucun;10500045;MOLETTE INOX BRUTE COUTEAU SURICATE;10000.0;0.6;6000;6000;;6000;0.0;0.0;;;Aucune;Aucune;;;;;;;;46098;;;;GDD;;;GMW-B2026021005;;;
TB CHINA;2026-02-24;;17531.0;Pas de N°;AUZON;GDD;Aucun; /;En production;Non;;Aucun;11340033;CALE CARTON POUR BOITE SET DE 3 CTX BRIGADE;11000.0;0.217;2387;8787;;8787;0.0;0.0;;;Aucune;Aucune;;Non reçu;;;;;;46098;;;;GDD;;;;;;
TB CHINA;2026-02-24;;17531.0;Pas de N°;AUZON;GDD;Aucun; /;En production;Non;;Envoyé;Comp1370029;BOITE POUR SET DE 3 CTX BRIGADE BOIS TRADITION CRF HOME;10000.0;0.64;6400;8787;;8787;0.0;0.0;;;Aucune;Aucune;;Non reçu;;;;;;46098;;;;GDD;;;;;;
TB CHINA;2024-06-17;24050;145862.0;2405281601;WANXIN;Appro 240517;Aucun; /;Livrée le 13/01/2025;2024-12-04 00:00:00;6;Aucun;402620;LOT 6 FTTES CLEO 18% 10/10;1680.0;0.384;645.12;43538.25999999999;;43538.25999999999;120.0;0.010846;0.151844;15.87173875;Aucune;Conforme;Validé;Conforme;2024-10-20 00:00:00;OK 4928112.00-3;Conforme;Aucune;2024-09-05 00:00:00;77;2024-11-21 00:00:00;2024-12-27 00:00:00;2025-01-13 08:00:00;POMMIER;FSSZS2402682;SLEU2356851;;;SEALOGIS;
TB CHINA;2024-06-17;24050;145862.0;2405281601;WANXIN;Appro 240517;Aucun; /;Livrée le 21/11/2024;2024-11-06 00:00:00;5;Aucun;402620;LOT 6 FTTES CLEO 18% 10/10;7080.0;0.384;2718.7200000000003;43538.25999999999;0.0;43538.25999999999;120.0;0.010846;0.639914;15.87173875;Aucune;Conforme;Validé;Conforme;2024-10-20 00:00:00;OK 4928112.00-3;Conforme;Aucune;2024-09-05 00:00:00;51;2024-10-26 00:00:00;2024-11-16 00:00:00;2024-11-21 00:00:00;POMMIER; /;FCIU8690685;;TRAIN;CEVA LOGISTICS;
TB CHINA;2024-06-17;24050;145862.0;2405281601;WANXIN;Appro 240517;Aucun; /;Livrée le 04/12/2024;2024-09-26 00:00:00;5;Aucun;402630;LOT 6 CUILL CLEO 18% 10/10;3120.0;0.402;1254.24;43538.25999999999;;43538.25999999999;120.0;0.014428125;0.37513125;15.87173875;Aucune;Aucune;Validé;Conforme;2024-09-09 00:00:00;REWORK 4925244.00-52;Conforme;Aucune;2024-09-05 00:00:00;27;2024-10-02 00:00:00;2024-11-26 00:00:00;2024-12-04 08:00:00;POMMIER;FSSZS2402305;DFSU1139442;;AL DHAIL;SEALOGIS;
TB CHINA;2024-06-17;24050;145862.0;2405281601;WANXIN;Appro 240517;Aucun; /;Livrée le 04/12/2024;2024-09-26 00:00:00;5;Aucun;402640;LOT 6 CAFES CLEO 18% 10/10;8200.0;0.288;2361.6;43538.25999999999;;43538.25999999999;200.0;0.008075;0.331075;15.87173875;Aucune;Aucune;Validé;Conforme;2024-09-06 00:00:00;OK 4925244.00-44;Conforme;Aucune;2024-09-05 00:00:00;27;2024-10-02 00:00:00;2024-11-26 00:00:00;2024-12-04 08:00:00;POMMIER;FSSZS2402305;DFSU1139442;;AL DHAIL;SEALOGIS;
TB CHINA;2024-06-17;24050;145862.0;2405281601;WANXIN;Appro 240517;Aucun; /;Livrée le 04/12/2024;2024-09-26 00:00:00;5;Aucun;402650;LOT 6 CUILL MOKA CLEO 18% 10/10;13800.0;0.206;2842.7999999999997;43538.25999999999;;43538.25999999999;200.0;0.006021000000000001;0.41544900000000007;15.87173875;Aucune;Aucune;Validé;Conforme;2024-07-31 00:00:00;OK 4924138.00-12;Conforme;Aucune;2024-09-05 00:00:00;27;2024-10-02 00:00:00;2024-11-26 00:00:00;2024-12-04 08:00:00;POMMIER;FSSZS2402305;DFSU1139442;;AL DHAIL;SEALOGIS;
TB CHINA;2024-06-17;24050;145862.0;2405281601;WANXIN;Appro 240517;Aucun; /;Livrée le 04/12/2024;2024-09-26 00:00:00;5;Aucun;402660;LOT 6 CUILL MAZAGRAN CLEO;6000.0;0.272;1632.0000000000002;43538.25999999999;;43538.25999999999;200.0;0.014804999999999999;0.44414999999999993;15.87173875;Aucune;Aucune;Validé;Conforme;2024-09-06 00:00:00;OK 4925244.00-45;Conforme;Aucune;2024-09-05 00:00:00;27;2024-10-02 00:00:00;2024-11-26 00:00:00;2024-12-04 08:00:00;POMMIER;FSSZS2402305;DFSU1139442;;AL DHAIL;SEALOGIS;
TB CHINA;2024-06-17;24050;145862.0;2405281601;WANXIN;Appro 240517;Aucun; /;Livrée le 16/06/2025;2025-04-23 00:00:00;11;Aucun;20160002;LOT 3 STEAK POINTU OSLO BRILLANT CLASSIQUE +SUSPENSION;3600.0;0.73;2628;43538.25999999999;;43538.25999999999;72.0;0.015007499999999998;0.7503749999999999;15.87173875;Aucune;Conforme;Validé;Conforme;2025-03-24 00:00:00;FAIL 4935210.00-1;Conforme;Aucune;2024-09-05 00:00:00;224;2025-04-17 00:00:00;2025-06-04 00:00:00;2025-06-16 12:45:00;POMMIER;SZXS25383263;TRHU2449900;20250413E;;SEALOGIS;
TB CHINA;2024-06-17;24050;145862.0;2405281601;WANXIN;Appro 240517;Aucun; /;Livrée le 16/06/2025;2025-04-23 00:00:00;11;Aucun;20160003;LOT 3 COUTEAUX DESSERT OSLO BRILLANT CLASSIQUE +SUSPENSION;1728.0;0.6;1036.8;43538.25999999999;;43538.25999999999;72.0;0.01595725;0.382974;15.87173875;Aucune;Conforme;Validé;Conforme;2025-04-02 00:00:00;FAIL 4935210.00-9;Conforme;Aucune;2024-09-05 00:00:00;224;2025-04-17 00:00:00;2025-06-04 00:00:00;2025-06-16 12:45:00;POMMIER;SZXS25383263;TRHU2449900;20250413E;;SEALOGIS;
TB CHINA;2024-06-17;24050;145862.0;2405281601;WANXIN;Appro 240517;Aucun; /;Livrée le 16/06/2025;2025-04-23 00:00:00;11;Aucun;20160004;LOT 6 FOURCHETTES OSLO BRILLANT CLASSIQUE +SUSPENSION;3456.0;1.039;3590.7839999999997;43538.25999999999;;43538.25999999999;72.0;0.02178;1.0454400000000001;15.87173875;Aucune;Conforme;Validé;Conforme;2025-04-02 00:00:00;OK 4935210.00-11;Conforme;Aucune;2024-09-05 00:00:00;224;2025-04-17 00:00:00;2025-06-04 00:00:00;2025-06-16 12:45:00;POMMIER;SZXS25383263;TRHU2449900;20250413E;;SEALOGIS;
TB CHINA;2024-06-17;24050;145862.0;2405281601;WANXIN;Appro 240517;Aucun; /;Livrée le 18/11/2025;2025-09-26 00:00:00;17;Aucun;20160005;LOT 6 CUILLERES OSLO BRILLANT CLASSIQUE +SUSPENSION;2016.0;1.039;2094.624;43538.25999999999;;43538.25999999999;72.0;0.022638000000000002;0.6338640000000001;15.87173875;Aucune;Conforme;Validé;Conforme;2025-07-22 00:00:00;OK 4941756.00-2;;;2024-09-05 00:00:00;373;2025-09-13 00:00:00;2025-11-10 00:00:00;2025-11-18 12:45:00;POMMIER;SZSE2509711;NVLU2025760;2405281601;;QUALITAIRSEA;
TB CHINA;2024-06-17;24050;145862.0;2405281601;WANXIN;Appro 240517;Aucun; /;Livrée le 16/06/2025;2025-04-23 00:00:00;11;Aucun;20160006;LOT 6 CAFE OSLO BRILLANT CLASSIQUE +SUSPENSION;3888.0;0.715;2779.92;43538.25999999999;;43538.25999999999;144.0;0.022000000000000002;0.5940000000000001;15.87173875;Conforme;Aucune;Validé;Conforme;2025-04-09 00:00:00;FAIL 4935210.00-31;Conforme;Aucune;2024-09-05 00:00:00;224;2025-04-17 00:00:00;2025-06-04 00:00:00;2025-06-16 12:45:00;POMMIER;SZXS25383263;TRHU2449900;20250413E;;SEALOGIS;
TB CHINA;2024-06-17;24050;145862.0;2405281601;WANXIN;Appro 240517;Aucun; /;Livrée le 16/06/2025;2025-04-23 00:00:00;11;Aucun;20160007;LOT 6 MOKA OSLO BRILLANT CLASSIQUE +SUSPENSION;1872.0;0.697;1304.7839999999999;43538.25999999999;;43538.25999999999;144.0;0.021560000000000003;0.28028000000000003;15.87173875;Conforme;Aucune;Validé;Conforme;2025-04-10 00:00:00;FAIL 4935210.00-39;Conforme;Aucune;2024-09-05 00:00:00;224;2025-04-17 00:00:00;2025-06-04 00:00:00;2025-06-16 12:45:00;POMMIER;SZXS25383263;TRHU2449900;20250413E;;SEALOGIS;
TB CHINA;2024-06-17;24050;145862.0;2405281601;WANXIN;Appro 240517;Aucun; /;Livrée le 16/06/2025;2025-04-23 00:00:00;11;Aucun;20160008;LOT 6 FOURCHETTE DESSERT OSLO BRILLANT CLASSIQUE +SUSPENSION;2016.0;0.746;1503.936;43538.25999999999;;43538.25999999999;72.0;0.0231;0.6467999999999999;15.87173875;Aucune;Conforme;Validé;Conforme;2025-03-23 00:00:00;FAIL 4933661.00-57;Conforme;Aucune;2024-09-05 00:00:00;224;2025-04-17 00:00:00;2025-06-04 00:00:00;2025-06-16 12:45:00;POMMIER;SZXS25383263;TRHU2449900;20250413E;;SEALOGIS;
TB CHINA;2024-06-17;24050;145862.0;2405281601;WANXIN;Appro 240517;Aucun; /;Livrée le 18/11/2025;2025-09-26 00:00:00;17;Aucun;20160033;LOT 6 CUILLERES MAZAGRAN OSLO SUR CARTE;3600.0;0.848;3052.7999999999997;43538.25999999999;;43538.25999999999;72.0;0.0238;1.1900000000000002;15.87173875;Aucune;Conforme;Validé;Conforme;2025-08-05 00:00:00;OK 4941756.00-17;;;2024-09-05 00:00:00;373;2025-09-13 00:00:00;2025-11-10 00:00:00;2025-11-18 12:45:00;POMMIER;SZSE2509711;NVLU2025760;2405281601;;QUALITAIRSEA;
TB CHINA;2024-06-17;24050;145862.0;2405281601;WANXIN;Appro 240517;Aucun; /;Annulée;2025-02-12 00:00:00;;Aucun;20480002;COUTEAU STEAK CLEO 15/10;72.0;0;0;43538.25999999999;;43538.25999999999;432.0;0.010477999999999998;0.0017463333333333328;15.87173875;Aucune;Aucune;Validé;Conforme;2025-01-17 00:00:00;OK 4931777.00-96;;;2024-09-05 00:00:00;Aucun; /; /; /;POMMIER; /; /; /; /; /; /
TB CHINA;2024-06-17;24050;145862.0;2405281601;WANXIN;Appro 240517;Aucun; /;Livrée le 07/04/2025;2025-02-12 00:00:00;9;Aucun;20480002;COUTEAU STEAK CLEO 15/10;5112.0;0.14;715.6800000000001;43538.25999999999;;43538.25999999999;432.0;0.010477999999999998;0.12398966666666665;15.87173875;Aucune;Aucune;Validé;Conforme;2025-01-17 00:00:00;OK 4931777.00-96;;;2024-09-05 00:00:00;149;2025-02-01 00:00:00;2025-03-21 00:00:00;2025-04-07 08:00:00;POMMIER;FSSZS2500316;DRYU2996958;;;SEALOGIS;
TB CHINA;2024-06-17;24050;145862.0;2405281601;WANXIN;Appro 240517;Aucun; /;Livrée le 04/12/2024;2024-09-26 00:00:00;5;Aucun;20480004;FOUCHETTE CLEO PROMOCASH;5500.0;0.069;379.50000000000006;43538.25999999999;;43538.25999999999;250.0;0.010710000000000003;0.23562000000000005;15.87173875;Aucune;Conforme;Validé;Conforme;2024-09-06 00:00:00;FAIL 4925244.00-42;Conforme;Aucune;2024-09-05 00:00:00;27;2024-10-02 00:00:00;2024-11-26 00:00:00;2024-12-04 08:00:00;POMMIER;FSSZS2402305;DFSU1139442;;AL DHAIL;SEALOGIS;
TB CHINA;2024-06-17;24050;145862.0;2405281601;WANXIN;Appro 240517;Aucun; /;Livrée le 04/12/2024;2024-09-26 00:00:00;5;Aucun;20480005;CUILLERE CLEO PROMOCASH;3250.0;0.07;227.50000000000003;43538.25999999999;;43538.25999999999;250.0;0.011067;0.143871;15.87173875;Aucune;Aucune;Validé;Conforme;2024-09-06 00:00:00;OK 4925244.00-43;Conforme;Aucune;2024-09-05 00:00:00;27;2024-10-02 00:00:00;2024-11-26 00:00:00;2024-12-04 08:00:00;POMMIER;FSSZS2402305;DFSU1139442;;AL DHAIL;SEALOGIS;
TB CHINA;2024-06-17;24050;145862.0;2405281601;WANXIN;Appro 240517;Aucun; /;Livrée le 16/06/2025;2025-04-23 00:00:00;11;Aucun;20480006;CAFE CLEO PROMOCASH;7500.0;0.041;307.5;43538.25999999999;;43538.25999999999;300.0;0.00378;0.0945;15.87173875;Aucune;Aucune;Validé;Conforme;2025-03-23 00:00:00;FAIL 4933661.00-56;;;2024-09-05 00:00:00;224;2025-04-17 00:00:00;2025-06-04 00:00:00;2025-06-16 12:45:00;POMMIER;SZXS25383263;TRHU2449900;20250413E;;SEALOGIS;
